Regiao – Sigla;Estado – Sigla;Produto;Data da Coleta;Valor de Venda;Bandeira
SE;SP;GASOLINA;03/01/2017;3,699;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;ETANOL;03/01/2017;2,899;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;DIESEL;03/01/2017;2,959;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;DIESEL S10;03/01/2017;3,079;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;GNV;03/01/2017;2,099;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;GASOLINA;03/01/2017;3,39;BRANCA
SE;SP;ETANOL;03/01/2017;2,59;BRANCA
SE;SP;DIESEL S10;03/01/2017;2,88;BRANCA
S;RS;GASOLINA;03/01/2017;3,849;BRANCA
S;RS;ETANOL;03/01/2017;3,45;BRANCA
S;RS;GNV;03/01/2017;2,699;BRANCA
NE;BA;GASOLINA;03/01/2017;3,78;BRANCA
NE;BA;DIESEL;03/01/2017;2,98;BRANCA
NE;BA;DIESEL S10;03/01/2017;3,09;BRANCA
S;PR;GASOLINA;02/01/2017;3,86;RODOIL
S;PR;ETANOL;02/01/2017;2,94;RODOIL
S;PR;DIESEL S10;02/01/2017;3,14;RODOIL
N;AC;GASOLINA;03/01/2017;4,7;PETROBRAS DISTRIBUIDORA S.A.
N;AC;DIESEL;03/01/2017;4,12;PETROBRAS DISTRIBUIDORA S.A.
N;AC;GASOLINA;03/01/2017;4,7;PETROBRAS DISTRIBUIDORA S.A.
N;AC;DIESEL;03/01/2017;4,12;PETROBRAS DISTRIBUIDORA S.A.
N;AC;GASOLINA;03/01/2017;4,47;IPIRANGA
N;AC;ETANOL;03/01/2017;4,03;IPIRANGA
N;AC;DIESEL;03/01/2017;3,94;IPIRANGA
N;AC;GASOLINA;03/01/2017;4,7;BRANCA
N;AC;DIESEL;03/01/2017;4,12;BRANCA
N;AC;GASOLINA;03/01/2017;4,43;PETROBRAS DISTRIBUIDORA S.A.
N;AC;DIESEL;03/01/2017;3,93;PETROBRAS DISTRIBUIDORA S.A.
N;AC;DIESEL S10;03/01/2017;3,98;PETROBRAS DISTRIBUIDORA S.A.
N;AC;GASOLINA;03/01/2017;4,35;BRANCA
N;AC;DIESEL;03/01/2017;3,94;BRANCA
N;AC;GASOLINA;04/01/2017;4,17;PETROBRAS DISTRIBUIDORA S.A.
